物品ID,物品名称,所属地,发往地,物品类型,客户等级,收获日期
108,q,C,G,1,6,2025-12-30
109,e,E,G,4,5,2026-01-03
110,i,F,G,3,7,2026-01-03
111,w,H,C,2,3,2026-01-03
112,i,F,G,1,2,2026-01-05
113,d,A,H,1,5,2026-01-03
114,q,C,G,4,4,2026-01-06
115,e,B,D,1,5,2026-01-02
116,k,D,A,1,5,2026-01-03
117,l,E,F,1,4,2026-01-06
118,k,E,D,2,4,2026-01-02
119,j,D,E,3,5,2026-01-01
120,x,C,A,1,2,2026-01-06
121,f,C,F,1,7,2026-01-01
122,b,E,G,4,7,2026-01-04
123,l,B,G,1,4,2026-01-02
124,h,H,D,3,5,2026-01-03
125,r,H,E,4,6,2026-01-04
126,c,B,G,3,7,2026-01-03
127,m,A,H,2,7,2025-12-30
128,f,H,G,2,2,2026-01-03
129,w,E,F,3,7,2026-01-03
130,d,H,C,3,1,2026-01-04
131,f,F,D,2,3,2025-12-30
132,i,G,F,3,6,2026-01-01
133,d,D,F,2,1,2026-01-06
134,w,F,B,1,4,2026-01-04
135,n,E,A,3,3,2026-01-01
136,f,A,F,4,5,2025-12-31
137,i,H,E,1,6,2026-01-01
138,q,B,C,1,7,2026-01-05
139,m,A,G,3,1,2025-12-30
140,w,B,G,2,5,2025-12-31
141,s,A,C,2,7,2025-12-31
142,e,F,E,1,6,2026-01-05
143,w,B,E,1,7,2026-01-04
144,b,H,C,4,1,2026-01-05
145,b,G,F,1,4,2026-01-04
146,y,F,A,2,4,2026-01-02
147,x,C,G,1,6,2026-01-03
148,l,E,F,3,4,2026-01-05
149,p,C,F,1,1,2025-12-31
150,j,G,B,4,7,2026-01-03
151,e,B,F,3,4,2026-01-05
152,v,A,H,4,1,2025-12-30
153,x,H,B,3,1,2026-01-06
154,s,F,H,3,4,2026-01-04
155,m,A,G,3,4,2025-12-30
156,g,E,A,3,2,2026-01-03
157,e,D,C,3,2,2025-12-31
158,m,E,C,1,4,2025-12-30
159,v,A,E,3,4,2026-01-02
160,u,F,B,2,5,2026-01-02
161,e,A,C,1,7,2026-01-04
162,j,E,H,4,3,2025-12-31
163,f,A,C,1,5,2026-01-06
164,a,E,A,4,1,2025-12-30
165,e,H,E,1,7,2026-01-06
166,s,G,E,3,4,2025-12-30
167,g,H,B,4,2,2026-01-01
168,y,C,F,3,7,2026-01-02
169,l,H,D,1,5,2026-01-03
170,o,D,C,3,7,2026-01-02
171,v,E,G,3,3,2026-01-06
172,f,A,H,4,4,2026-01-05
173,i,B,F,1,6,2026-01-06
174,h,E,A,3,7,2026-01-01
175,l,A,F,2,5,2026-01-06
176,s,H,E,2,4,2026-01-06
177,o,A,E,4,1,2026-01-01
178,f,D,A,3,1,2026-01-02
179,h,G,H,2,7,2026-01-06
180,x,E,F,1,3,2026-01-04
181,i,B,E,1,4,2025-12-31
182,i,A,F,2,5,2026-01-04
183,d,G,C,3,5,2025-12-30
184,x,D,A,2,1,2026-01-05
185,r,B,G,4,4,2025-12-31
186,y,A,G,3,7,2025-12-30
187,f,E,C,4,4,2025-12-30
188,m,F,G,3,1,2025-12-31
189,y,C,H,3,1,2026-01-03
190,z,F,D,4,5,2025-12-30
191,k,B,H,4,1,2026-01-05
192,i,D,E,4,7,2026-01-06
193,h,B,G,1,5,2026-01-06
194,w,G,C,3,6,2026-01-02
195,w,F,B,2,3,2026-01-04
196,q,G,E,4,5,2026-01-02
197,f,C,D,1,4,2025-12-30
198,h,C,B,2,4,2026-01-04
199,x,G,A,2,2,2026-01-01
200,s,E,F,1,6,2025-12-31
201,d,C,E,3,2,2026-01-06
202,a,E,D,1,7,2025-12-31
203,y,G,D,3,7,2025-12-30
204,t,E,B,2,2,2026-01-04
205,t,D,A,3,4,2026-01-02
206,j,A,C,2,5,2026-01-03
207,x,D,H,1,4,2026-01-04
208,i,D,E,1,1,2025-12-30
209,t,F,G,3,1,2026-01-04
210,o,E,H,1,3,2026-01-04
211,e,F,C,3,1,2025-12-31
212,t,F,E,1,5,2026-01-06
213,q,C,H,2,5,2025-12-30
214,i,F,H,3,7,2025-12-31
215,u,F,H,1,2,2026-01-01
216,n,C,G,4,7,2026-01-06
217,u,D,H,4,6,2025-12-31
218,d,G,H,2,3,2025-12-31
219,a,D,G,2,7,2026-01-06
220,g,G,E,3,7,2026-01-01
221,y,C,H,3,3,2025-12-31
222,k,H,A,1,3,2025-12-30
223,i,B,H,4,4,2026-01-04
224,q,E,C,3,2,2026-01-05
225,v,C,B,2,3,2026-01-01
226,b,E,G,1,2,2026-01-04
227,n,G,A,4,7,2026-01-01
228,w,F,E,1,6,2026-01-03
229,h,E,F,2,5,2025-12-31
230,v,A,C,2,2,2026-01-05
231,a,E,C,3,3,2025-12-31
232,j,G,B,3,6,2025-12-31
233,o,G,H,2,1,2026-01-04
234,h,G,D,3,4,2025-12-30
235,r,D,G,4,7,2026-01-01
236,j,E,F,1,4,2026-01-04
237,d,C,B,2,6,2025-12-31
238,e,B,C,4,2,2026-01-05
239,x,D,F,4,6,2026-01-05
240,a,C,F,2,5,2026-01-05
241,a,F,A,2,3,2026-01-03
242,y,E,B,1,6,2026-01-06
243,t,A,E,1,7,2025-12-30
244,k,H,G,2,4,2026-01-06
245,o,B,C,3,6,2026-01-01
246,i,E,H,3,4,2025-12-30
247,i,F,B,2,4,2026-01-06
248,c,C,D,2,3,2026-01-03
249,q,G,C,2,6,2026-01-02
250,b,H,B,2,3,2026-01-01
251,g,G,A,2,7,2026-01-05
252,n,B,A,2,1,2026-01-02
253,j,F,H,2,3,2025-12-30
254,y,B,A,2,7,2026-01-03
255,b,G,A,3,6,2026-01-02
256,i,H,E,1,3,2026-01-03
257,a,G,C,4,1,2026-01-06
258,a,C,E,2,5,2026-01-06
259,y,B,G,2,2,2026-01-02
260,q,A,D,2,5,2026-01-05
261,l,E,A,3,4,2025-12-30
262,h,C,B,3,2,2025-12-30
263,v,D,C,3,3,2026-01-03
264,o,H,F,1,7,2026-01-01
265,r,H,B,2,4,2025-12-31
266,m,H,G,4,2,2026-01-03
267,f,B,H,1,7,2026-01-02
268,s,G,F,2,6,2026-01-03
269,l,B,D,4,7,2026-01-04
270,g,H,D,4,1,2026-01-03
271,j,D,E,3,5,2026-01-02
272,s,D,E,1,1,2026-01-04
273,v,D,B,4,7,2026-01-06
274,c,H,B,1,3,2026-01-04
275,i,F,G,2,2,2026-01-01
276,i,E,H,3,2,2026-01-04
277,i,H,A,1,1,2026-01-06
278,i,C,G,2,2,2026-01-03
279,x,D,G,1,5,2026-01-05
280,k,F,G,3,3,2026-01-04
281,e,E,G,2,3,2026-01-01
282,u,C,B,1,3,2026-01-01
283,a,C,E,3,1,2026-01-03
284,c,E,F,4,1,2025-12-30
285,o,H,E,4,1,2026-01-03
286,j,G,F,4,1,2025-12-30
287,r,C,G,1,4,2026-01-06
288,b,G,H,3,4,2026-01-03
289,a,B,A,1,2,2026-01-03
290,b,C,B,4,6,2026-01-05
291,l,E,B,3,2,2026-01-01
292,l,H,E,3,5,2025-12-31
293,e,E,H,3,2,2026-01-02
294,q,E,C,3,5,2026-01-01
295,s,D,H,3,1,2026-01-05
296,m,F,C,4,6,2026-01-04
297,l,E,G,1,2,2025-12-31
298,s,G,E,1,5,2026-01-03
299,j,C,H,4,1,2026-01-02
300,s,G,A,4,4,2026-01-03
301,k,C,H,1,4,2026-01-05
302,w,F,H,1,6,2026-01-04
303,a,H,G,1,5,2026-01-04
304,m,G,B,3,3,2026-01-03
305,w,D,F,2,2,2026-01-05
306,b,G,A,3,2,2025-12-31
307,e,D,H,4,3,2026-01-03
308,s,D,G,3,5,2026-01-01
309,d,E,H,2,2,2026-01-03
310,a,A,C,1,6,2026-01-05
311,o,C,F,1,5,2025-12-30
312,c,B,E,4,7,2025-12-31
313,s,D,C,3,1,2026-01-02
314,w,H,G,2,3,2026-01-01
315,f,D,A,2,2,2026-01-05
316,a,D,B,4,6,2026-01-02
317,f,F,H,3,6,2025-12-30
318,y,E,F,2,5,2025-12-30
319,s,D,F,2,3,2026-01-04
320,h,G,F,3,5,2026-01-05
321,e,E,C,4,5,2026-01-04
322,d,F,E,1,5,2026-01-01
323,q,G,A,3,1,2026-01-03
324,a,F,C,1,6,2026-01-05
325,u,F,G,4,4,2025-12-30
326,d,G,D,2,7,2026-01-01
327,i,H,A,4,6,2026-01-04
328,n,G,H,3,1,2025-12-30
329,k,H,B,1,2,2026-01-04
330,u,E,H,4,2,2026-01-03
331,i,H,E,3,2,2026-01-02
332,f,C,E,4,1,2026-01-06
333,a,D,G,4,4,2026-01-01
334,q,A,E,2,1,2026-01-03
335,m,F,H,4,3,2026-01-06
336,y,H,D,4,6,2026-01-05
337,w,G,A,1,6,2025-12-31
338,k,G,A,4,7,2026-01-06
339,b,A,C,2,3,2026-01-03
340,f,F,C,2,1,2026-01-05
341,d,B,D,3,7,2026-01-04
342,y,H,D,2,4,2026-01-04
343,p,A,E,4,3,2026-01-02
344,p,D,H,1,4,2026-01-01
345,h,B,F,1,7,2026-01-01
346,y,C,H,3,1,2025-12-31
347,v,B,F,1,2,2026-01-03
348,s,G,H,1,5,2026-01-05
349,t,D,C,1,6,2026-01-01
350,w,A,D,3,2,2026-01-03
351,i,G,E,2,4,2026-01-03
352,i,E,D,2,4,2026-01-05
353,d,B,H,2,6,2026-01-06
354,i,G,E,1,6,2026-01-03
355,l,G,H,4,3,2026-01-05
356,a,H,C,4,1,2026-01-01
357,e,A,E,1,7,2025-12-31
358,r,C,D,2,6,2026-01-02
359,z,H,G,2,6,2025-12-31
360,v,F,D,4,6,2026-01-05
361,l,B,C,1,1,2026-01-05
362,i,E,H,3,5,2025-12-30
363,u,G,E,4,3,2026-01-04
364,l,H,D,1,1,2026-01-01
365,e,D,B,3,7,2026-01-05
366,e,C,G,3,3,2026-01-05
367,o,F,H,4,5,2026-01-03
368,e,C,E,1,3,2026-01-02
369,l,E,G,2,1,2026-01-04
370,m,E,C,2,7,2026-01-04
371,v,A,G,4,2,2026-01-05
372,i,D,C,3,2,2026-01-01
373,n,A,F,4,7,2026-01-04
374,p,A,F,2,6,2026-01-06
375,l,B,C,1,1,2026-01-02
376,y,G,E,4,1,2025-12-31
377,e,D,F,1,7,2026-01-03
378,f,E,A,3,6,2025-12-30
379,h,D,H,4,4,2026-01-06
380,o,H,A,2,3,2026-01-03
381,v,B,G,2,3,2026-01-06
382,h,G,E,4,1,2026-01-02
383,e,B,D,3,7,2026-01-05
384,k,B,F,1,6,2026-01-01
385,u,E,H,4,7,2025-12-30
386,o,A,C,3,7,2026-01-01
387,b,E,F,2,3,2026-01-06
388,q,G,B,1,2,2026-01-03
389,l,H,C,2,4,2026-01-04
390,p,D,G,2,5,2026-01-03
391,u,H,E,1,5,2026-01-06
392,z,C,A,1,5,2025-12-30
393,p,C,H,2,3,2026-01-03
394,s,B,E,4,7,2026-01-01
395,c,C,H,3,1,2025-12-31
396,z,A,E,3,6,2026-01-05
397,p,E,F,3,2,2026-01-02
398,t,A,B,4,1,2026-01-06
399,e,C,G,1,1,2026-01-06
400,r,A,F,3,3,2026-01-03
401,y,E,D,2,1,2025-12-31
402,k,B,A,2,4,2026-01-03
403,s,C,G,3,5,2026-01-03
404,b,B,C,2,1,2025-12-31
405,c,E,G,4,7,2026-01-01
406,p,F,E,1,3,2025-12-31
407,n,E,A,3,7,2026-01-06
408,a,B,F,1,2,2026-01-05
409,g,D,F,2,5,2026-01-02
410,t,A,D,3,5,2026-01-05
411,o,D,A,1,1,2026-01-06
412,i,A,G,2,4,2026-01-04
413,c,A,H,3,1,2026-01-04
414,q,H,C,3,2,2026-01-04
415,w,B,C,3,5,2026-01-04
416,f,B,F,1,3,2025-12-31
417,k,C,H,4,6,2025-12-30
418,x,A,B,1,2,2026-01-01
419,j,A,G,4,4,2026-01-02
420,z,E,H,3,2,2025-12-30
421,f,F,D,3,1,2026-01-02
422,x,B,C,1,7,2026-01-06
423,l,A,C,1,5,2026-01-06
424,t,D,C,4,3,2026-01-01
425,p,A,H,4,5,2026-01-05
426,z,C,A,3,3,2026-01-05
427,d,B,C,4,4,2025-12-30
428,z,F,H,3,7,2026-01-03
429,n,A,F,3,5,2026-01-04
430,u,F,H,4,4,2026-01-02
431,k,D,A,3,6,2026-01-04
432,p,B,F,3,4,2026-01-01
433,g,F,A,3,6,2026-01-06
434,c,E,F,3,7,2025-12-30
435,o,F,A,3,6,2025-12-30
436,j,B,H,4,1,2026-01-04
437,z,G,E,3,2,2026-01-02
438,f,H,C,1,7,2026-01-06
439,d,A,B,2,4,2026-01-04
440,h,F,A,4,2,2026-01-06
441,n,F,E,4,7,2026-01-06
442,t,B,E,4,2,2026-01-02
443,f,G,C,4,3,2026-01-01
444,m,H,A,1,3,2026-01-02
445,u,H,E,2,3,2026-01-05
446,b,E,D,4,7,2026-01-05
447,s,H,G,3,6,2026-01-01
448,j,B,G,4,2,2026-01-01
449,g,B,D,2,2,2026-01-05
450,g,E,B,3,1,2026-01-06
451,j,G,H,3,3,2026-01-03
452,f,G,D,1,4,2026-01-04
453,u,E,H,4,5,2025-12-31
454,j,H,C,3,4,2026-01-02
455,e,A,C,1,6,2025-12-30
456,m,H,E,4,4,2025-12-31
457,r,E,G,1,6,2026-01-06
458,f,A,H,1,6,2026-01-06
459,c,B,E,4,2,2026-01-04
460,e,H,E,4,5,2025-12-30
461,q,F,D,4,7,2026-01-01
462,d,F,D,3,7,2026-01-01
463,v,G,E,3,6,2025-12-30
464,x,B,C,1,4,2026-01-03
465,f,F,H,3,1,2026-01-01
466,k,H,E,1,1,2026-01-03
467,d,C,H,3,5,2026-01-05
468,w,B,A,1,4,2026-01-03
469,a,C,E,2,1,2026-01-05
470,q,E,C,4,4,2026-01-01
471,k,H,G,1,4,2025-12-30
472,n,A,D,2,7,2026-01-06
473,s,A,F,4,4,2025-12-30
474,s,A,B,2,4,2025-12-31
475,q,E,D,4,2,2026-01-03
476,t,C,H,2,5,2025-12-31
477,a,H,F,2,5,2026-01-02
478,b,H,C,4,3,2026-01-05
479,c,G,H,4,4,2025-12-31
480,y,E,H,2,5,2025-12-30
481,y,A,B,4,4,2026-01-03
482,q,G,A,4,6,2026-01-03
483,e,F,C,2,4,2025-12-30
484,h,D,A,2,4,2025-12-31
485,r,B,C,4,2,2026-01-03
486,l,D,G,3,4,2026-01-04
487,t,E,D,1,5,2025-12-31
488,x,A,B,3,1,2026-01-05
489,t,G,H,3,7,2026-01-06
490,j,C,A,1,6,2026-01-02
491,f,H,G,3,4,2025-12-30
492,k,D,G,1,3,2026-01-06
493,y,E,C,3,4,2026-01-01
494,x,C,H,4,7,2026-01-03
495,l,F,D,1,6,2026-01-05
496,j,G,A,4,4,2026-01-02
497,z,E,C,4,4,2025-12-31
498,y,E,F,1,5,2025-12-31
499,n,G,E,3,5,2026-01-04
500,j,D,G,3,6,2025-12-31
501,y,H,A,4,6,2026-01-03
502,c,A,D,2,2,2026-01-06
503,q,G,D,3,3,2025-12-31
504,e,D,F,4,1,2026-01-03
505,c,A,E,3,7,2026-01-02
506,h,A,F,4,1,2026-01-03
507,u,A,F,2,1,2026-01-02
508,q,G,C,3,7,2025-12-30
509,k,A,D,3,5,2026-01-02
510,l,C,D,1,6,2026-01-06
511,q,A,H,2,7,2025-12-30
512,f,A,F,4,4,2026-01-01
513,b,A,E,3,2,2025-12-31
514,e,C,G,1,5,2026-01-03
515,b,G,B,2,7,2026-01-05
516,i,B,A,1,2,2026-01-02
517,m,A,B,4,7,2025-12-31
518,t,A,C,2,3,2026-01-03
519,k,H,B,2,5,2025-12-31
520,l,H,C,1,4,2026-01-03
521,a,H,E,4,6,2026-01-06
522,z,B,F,3,3,2025-12-31
523,h,F,E,3,3,2026-01-06
524,a,B,H,1,4,2025-12-30
525,h,F,D,3,3,2026-01-02
526,s,E,G,3,4,2026-01-01
527,k,E,H,3,2,2026-01-06
528,g,A,C,3,4,2026-01-06
529,m,A,D,3,6,2026-01-03
530,c,G,D,4,6,2026-01-01
531,i,E,G,2,1,2026-01-01
532,f,A,E,2,4,2025-12-31
533,r,E,F,4,3,2026-01-05
534,g,C,B,3,3,2025-12-30
535,x,B,A,1,2,2026-01-05
536,w,F,C,1,2,2026-01-06
537,y,B,D,1,5,2026-01-06
538,n,E,D,1,2,2025-12-31
539,t,A,E,3,4,2026-01-01
540,n,C,A,2,7,2026-01-04
541,w,B,A,1,1,2026-01-06
542,v,B,C,1,1,2026-01-04
543,o,F,A,3,6,2026-01-01
544,a,A,F,3,2,2026-01-03
545,s,G,B,3,5,2026-01-06
546,p,F,G,2,4,2025-12-30
547,j,A,D,3,7,2025-12-31
548,v,F,H,3,4,2026-01-01
549,b,F,H,3,1,2026-01-02
550,u,D,B,3,4,2026-01-01
551,b,G,B,2,5,2026-01-01
552,o,A,G,3,2,2026-01-04
553,l,G,F,1,1,2026-01-02
554,r,C,E,4,6,2026-01-01
555,u,G,D,2,6,2025-12-31
556,e,A,B,3,2,2026-01-05
557,o,F,E,1,6,2026-01-03
558,l,C,H,2,4,2026-01-04
559,c,G,A,3,6,2026-01-05
560,i,C,D,1,4,2025-12-30
561,b,C,D,2,2,2026-01-01
562,m,C,F,3,7,2026-01-04
563,o,A,H,3,5,2026-01-06
564,a,B,D,3,3,2026-01-03
565,n,B,E,1,4,2026-01-06
566,a,G,B,3,2,2025-12-31
567,d,G,D,4,7,2026-01-05
568,t,E,H,2,7,2026-01-06
569,c,E,F,1,6,2026-01-01
570,t,C,H,1,3,2025-12-30
571,s,C,D,2,4,2025-12-30
572,t,F,E,1,3,2026-01-02
573,z,A,E,2,5,2026-01-03
574,u,A,H,3,5,2026-01-06
575,p,G,D,3,5,2026-01-04
576,e,C,D,2,2,2026-01-01
577,a,B,D,4,7,2026-01-01
578,p,E,D,4,7,2026-01-04
579,j,D,C,1,1,2026-01-04
580,h,G,F,1,1,2026-01-02
581,t,A,B,1,7,2026-01-03
582,o,C,D,2,6,2026-01-03
583,x,E,D,3,6,2026-01-05
584,x,G,E,2,1,2026-01-05
585,u,A,H,3,1,2025-12-31
586,w,H,F,1,1,2026-01-04
587,d,F,E,2,3,2026-01-01
588,x,D,E,2,1,2025-12-30
589,g,C,G,2,4,2026-01-02
590,w,A,C,2,4,2026-01-02
591,l,G,F,4,7,2026-01-04
592,t,F,D,1,4,2026-01-04
593,e,F,E,1,3,2026-01-02
594,o,G,H,1,4,2026-01-02
595,e,G,E,3,1,2025-12-31
596,d,D,E,1,2,2026-01-03
597,m,H,C,4,6,2026-01-04
598,u,E,D,2,5,2026-01-03
599,h,B,A,1,2,2026-01-06
600,e,C,D,4,6,2026-01-01
601,c,C,E,4,7,2025-12-31
602,m,G,D,1,1,2025-12-31
603,m,D,H,1,2,2026-01-05
604,p,E,F,2,4,2026-01-02
605,z,H,F,4,3,2026-01-02
606,k,A,E,1,1,2026-01-03
607,b,A,G,2,1,2026-01-04
608,m,H,C,4,1,2026-01-05
609,d,B,H,3,6,2026-01-04
610,r,C,F,4,7,2025-12-30
611,n,D,G,1,1,2026-01-06
612,b,A,B,4,4,2026-01-01
613,z,D,G,4,3,2026-01-01
614,d,D,A,2,5,2026-01-02
615,k,D,H,1,4,2026-01-05
616,h,B,E,1,5,2026-01-04
617,z,E,F,4,5,2026-01-03
618,h,A,G,4,7,2026-01-03
619,v,A,G,1,1,2025-12-31
620,s,D,E,1,6,2026-01-04
621,b,E,B,2,2,2026-01-02
622,n,B,C,3,3,2025-12-30
623,x,C,B,4,2,2026-01-01
624,a,H,B,3,3,2026-01-01
625,h,C,D,2,3,2026-01-05
626,w,D,F,3,1,2025-12-30
627,m,E,G,3,3,2026-01-06
628,l,B,C,3,3,2026-01-03
629,v,A,D,2,2,2025-12-31
630,d,D,H,3,1,2026-01-04
631,r,C,H,1,6,2026-01-03
632,a,F,G,3,2,2026-01-05
633,e,C,H,1,5,2026-01-04
634,f,D,C,1,2,2026-01-02
635,y,D,F,4,5,2026-01-06
636,g,A,F,4,2,2026-01-03
637,b,E,G,4,7,2026-01-03
638,r,G,H,2,7,2025-12-30
639,b,H,B,2,5,2026-01-05
640,n,D,B,2,7,2026-01-02
641,k,B,G,2,4,2025-12-31
642,j,H,E,3,4,2025-12-31
643,w,E,B,4,6,2026-01-06
644,n,G,A,1,6,2026-01-06
645,w,H,E,2,2,2026-01-03
646,u,B,D,4,7,2026-01-05
647,c,C,B,1,4,2026-01-03
648,e,E,G,4,5,2026-01-03
649,q,D,B,4,4,2026-01-01
650,e,H,G,4,5,2025-12-30
651,n,F,E,1,1,2026-01-05
652,n,A,F,3,6,2026-01-01
653,g,C,E,2,2,2026-01-01
654,t,F,H,4,2,2026-01-02
655,i,C,B,4,3,2026-01-01
656,l,H,D,4,7,2025-12-31
657,b,B,F,1,6,2026-01-02
658,p,G,F,4,1,2026-01-04
659,u,B,C,1,1,2025-12-30
660,f,C,D,4,5,2025-12-30
661,z,G,F,2,7,2026-01-05
662,p,F,C,3,7,2026-01-04
663,g,H,A,2,1,2026-01-02
664,n,B,A,1,2,2026-01-06
665,s,E,C,1,1,2026-01-05
666,o,B,G,4,7,2026-01-02
667,k,A,C,1,1,2026-01-05
668,f,G,H,1,1,2026-01-04
669,h,H,B,4,5,2026-01-06
670,x,D,E,1,3,2025-12-30
671,t,E,A,2,4,2025-12-31
672,p,A,F,1,6,2026-01-05
673,h,D,A,2,5,2025-12-31
674,i,B,F,3,4,2026-01-04
675,m,D,B,4,5,2025-12-31
676,r,C,E,3,5,2026-01-05
677,e,D,A,2,2,2025-12-30
678,w,D,B,1,6,2025-12-31
679,v,H,C,4,2,2025-12-30
680,u,G,C,4,4,2026-01-06
681,g,B,G,1,5,2026-01-06
682,f,D,E,4,1,2026-01-02
683,a,D,G,2,4,2026-01-01
684,n,B,F,4,7,2026-01-03
685,g,H,G,2,2,2026-01-06
686,q,F,D,4,2,2026-01-06
687,l,C,G,2,5,2025-12-31
688,m,G,E,3,7,2026-01-04
689,l,G,C,2,5,2025-12-30
690,b,H,C,1,4,2025-12-31
691,x,D,H,1,3,2026-01-04
692,z,H,D,1,2,2026-01-06
693,g,B,C,4,7,2026-01-01
694,m,C,H,3,6,2025-12-30
695,d,D,A,2,7,2025-12-30
696,c,A,F,1,4,2026-01-02
697,j,F,D,3,5,2026-01-02
698,b,D,F,2,4,2026-01-05
699,h,A,G,1,3,2026-01-02
700,k,D,C,4,3,2026-01-01
701,l,C,F,4,3,2026-01-03
702,e,G,D,2,3,2025-12-31
703,p,C,B,2,7,2026-01-01
704,c,G,F,2,6,2026-01-06
705,b,B,A,3,5,2026-01-02
706,i,H,E,4,5,2026-01-06
707,m,D,C,1,6,2026-01-02
708,i,D,G,1,7,2026-01-06
709,a,E,B,2,7,2025-12-30
710,v,E,H,3,5,2026-01-05
711,d,B,H,4,4,2026-01-05
712,s,E,C,1,2,2026-01-03
713,w,G,F,1,2,2026-01-04
714,d,C,G,1,3,2026-01-04
715,e,G,B,4,4,2026-01-02
716,a,E,A,1,4,2026-01-02
717,p,G,C,1,4,2025-12-30
718,n,F,A,1,3,2026-01-03
719,v,G,B,2,4,2026-01-01
720,b,D,B,4,1,2025-12-30
721,z,F,B,3,6,2025-12-31
722,x,B,D,3,6,2026-01-06
723,a,B,A,1,7,2026-01-02
724,g,A,C,2,4,2026-01-01
725,k,H,F,3,4,2026-01-06
726,t,C,A,2,4,2025-12-30
727,o,D,G,3,4,2026-01-04
728,i,A,G,2,3,2026-01-06
729,r,A,H,2,1,2026-01-06
730,u,F,H,2,1,2025-12-30
731,f,A,H,1,1,2026-01-03
732,u,G,H,2,7,2026-01-04
733,w,B,C,4,4,2026-01-05
