物品ID,物品名称,所属地,发往地,物品类型,客户等级,收获日期
372,s,H,E,1,6,2026-01-04
373,w,C,E,1,10,2026-01-03
374,z,C,B,2,8,2026-01-01
375,x,A,H,4,6,2026-01-02
376,u,B,F,1,9,2026-01-02
377,o,E,D,2,2,2026-01-03
378,t,G,B,4,4,2026-01-06
379,d,E,B,1,4,2025-12-31
380,k,A,B,3,8,2026-01-06
381,h,B,G,4,6,2026-01-04
382,s,G,B,4,8,2026-01-03
383,g,G,E,3,5,2026-01-05
384,y,E,A,1,5,2026-01-02
385,o,F,H,2,6,2026-01-01
386,a,E,C,2,9,2026-01-02
387,r,F,A,2,8,2026-01-05
388,w,D,F,1,1,2025-12-30
389,b,D,F,1,10,2026-01-04
390,h,G,B,2,3,2025-12-30
391,u,D,E,3,8,2026-01-04
392,s,H,A,4,8,2025-12-31
393,r,B,C,1,7,2026-01-04
394,k,F,H,1,5,2026-01-04
395,s,B,H,1,10,2026-01-03
396,e,H,E,3,5,2026-01-02
397,w,E,A,1,6,2026-01-01
398,u,B,G,3,4,2025-12-30
399,h,B,G,4,2,2026-01-06
400,s,C,F,4,6,2026-01-03
401,q,F,H,3,2,2026-01-02
402,w,A,E,3,4,2026-01-01
403,x,A,H,4,3,2026-01-01
404,d,A,G,3,8,2026-01-04
405,r,G,C,2,4,2025-12-31
406,c,D,C,2,7,2025-12-31
407,s,H,E,2,4,2026-01-02
408,h,G,B,4,10,2026-01-06
409,n,H,A,4,6,2025-12-31
410,a,G,A,3,5,2026-01-01
411,a,C,B,2,3,2026-01-04
412,t,E,G,1,9,2026-01-04
413,a,C,H,3,7,2025-12-31
414,u,B,H,1,2,2026-01-03
415,u,H,B,3,9,2026-01-01
416,f,A,E,2,10,2026-01-05
417,q,F,E,3,7,2025-12-30
418,b,G,C,1,1,2025-12-30
419,b,G,F,2,3,2026-01-06
420,i,C,E,1,2,2026-01-03
421,t,D,F,2,9,2026-01-01
422,x,G,C,1,2,2026-01-04
423,s,H,D,3,7,2026-01-02
424,e,D,A,2,4,2026-01-04
425,k,C,G,1,7,2026-01-01
426,p,H,A,2,10,2025-12-30
427,d,C,F,4,8,2026-01-03
428,v,H,G,2,4,2026-01-06
429,c,A,E,3,10,2025-12-31
430,y,C,H,2,10,2026-01-06
431,d,C,D,2,2,2026-01-02
432,h,C,F,4,9,2026-01-03
433,o,D,E,3,4,2026-01-04
434,h,H,C,1,8,2026-01-05
435,s,G,C,3,9,2026-01-05
436,v,B,G,4,6,2026-01-01
437,l,E,G,1,8,2026-01-01
438,m,H,B,1,10,2026-01-02
439,f,A,E,3,1,2026-01-05
440,p,B,G,4,7,2026-01-02
441,o,A,E,1,3,2025-12-31
442,r,A,H,2,9,2026-01-06
443,g,G,B,4,4,2026-01-04
444,j,E,G,2,10,2025-12-30
445,i,C,D,2,5,2026-01-03
446,o,A,D,2,2,2026-01-06
447,o,E,G,1,5,2025-12-31
448,z,A,G,3,5,2026-01-04
449,o,H,G,2,5,2026-01-05
450,n,D,F,1,2,2026-01-03
451,h,G,B,4,8,2026-01-06
452,p,G,B,4,9,2026-01-04
453,b,B,A,1,8,2025-12-30
454,d,C,F,4,6,2025-12-31
455,e,E,D,3,9,2026-01-03
456,u,E,H,2,1,2026-01-06
457,m,B,A,1,1,2026-01-01
458,d,C,D,1,1,2026-01-02
459,a,H,A,4,7,2026-01-04
460,g,C,B,2,1,2026-01-06
461,l,B,E,2,1,2026-01-03
462,y,C,G,1,9,2026-01-05
463,e,B,C,2,5,2026-01-04
464,g,D,B,1,8,2026-01-01
465,t,D,F,3,5,2026-01-01
466,u,B,H,3,3,2026-01-05
467,j,H,A,4,4,2026-01-06
468,e,C,A,3,8,2026-01-02
469,c,D,G,1,3,2025-12-30
470,g,B,C,3,10,2026-01-01
471,h,F,B,2,3,2026-01-01
472,y,B,C,1,9,2026-01-06
473,d,B,D,2,7,2025-12-31
474,r,A,H,1,1,2026-01-02
475,p,B,H,2,3,2026-01-06
476,f,F,C,4,9,2025-12-30
477,z,A,D,2,3,2026-01-05
478,g,A,H,4,6,2026-01-03
479,l,B,G,4,3,2025-12-30
480,n,D,F,2,8,2026-01-02
481,m,C,F,4,2,2025-12-30
482,a,A,H,4,7,2026-01-01
483,k,E,F,3,1,2026-01-06
484,y,G,F,3,4,2026-01-02
485,l,A,G,1,8,2026-01-06
486,z,F,C,3,9,2025-12-30
487,z,H,A,4,10,2026-01-03
488,p,B,F,1,2,2026-01-03
489,s,A,E,3,8,2025-12-31
490,v,C,B,3,9,2026-01-02
491,s,G,E,2,3,2025-12-30
492,f,G,B,2,8,2026-01-02
493,d,H,C,3,7,2026-01-02
494,a,F,C,4,2,2026-01-02
495,k,B,D,3,9,2026-01-02
496,v,H,B,1,9,2026-01-03
497,e,H,B,1,4,2026-01-05
498,s,B,G,4,1,2025-12-30
499,o,F,G,2,4,2026-01-01
500,d,E,D,1,10,2026-01-04
501,q,G,E,1,1,2026-01-03
502,w,F,D,3,1,2025-12-31
503,p,F,C,4,4,2025-12-31
504,x,G,A,3,9,2026-01-01
505,w,F,D,3,9,2026-01-01
506,y,D,H,1,10,2026-01-02
507,v,B,E,3,2,2026-01-04
508,c,A,E,2,9,2026-01-01
509,p,H,A,4,5,2026-01-05
510,t,B,G,4,8,2026-01-01
511,p,A,H,4,9,2026-01-04
512,j,F,C,2,6,2026-01-01
513,w,D,E,3,10,2025-12-30
514,a,A,H,4,4,2026-01-06
515,s,B,D,2,8,2026-01-05
516,j,E,D,3,4,2026-01-01
517,k,G,D,1,2,2026-01-03
518,m,A,C,1,2,2026-01-03
519,m,B,G,4,2,2026-01-06
520,t,E,G,3,1,2026-01-05
521,a,E,H,2,5,2026-01-05
522,l,G,B,4,10,2026-01-06
523,z,E,G,1,9,2026-01-05
524,i,G,H,3,6,2026-01-05
525,o,D,G,1,10,2026-01-03
526,p,C,B,2,5,2026-01-06
527,f,A,D,1,6,2026-01-02
528,c,H,D,1,6,2025-12-30
529,l,H,A,2,4,2026-01-06
530,k,A,H,4,7,2026-01-03
531,c,A,C,3,6,2026-01-05
532,l,C,H,1,5,2026-01-05
533,i,G,H,1,8,2026-01-02
534,c,F,C,4,10,2026-01-06
535,x,A,B,2,10,2025-12-31
536,u,G,B,2,8,2026-01-06
537,e,B,G,4,8,2026-01-01
538,q,H,D,3,8,2025-12-31
539,e,C,G,1,1,2026-01-06
540,u,G,B,4,2,2026-01-05
541,q,H,F,2,10,2026-01-04
542,v,E,H,1,5,2026-01-03
543,o,H,A,4,3,2025-12-30
544,o,A,H,4,3,2026-01-06
545,a,E,C,1,8,2026-01-05
546,w,C,F,4,10,2026-01-02
547,h,A,H,4,1,2026-01-05
548,l,A,B,3,7,2026-01-02
549,i,C,D,1,10,2026-01-04
550,q,B,F,1,6,2026-01-06
551,f,A,H,4,3,2026-01-06
552,z,E,F,3,9,2026-01-04
553,k,B,G,4,2,2026-01-06
554,l,B,G,4,10,2026-01-05
555,r,D,A,3,1,2026-01-01
556,c,A,H,4,5,2026-01-06
557,p,B,F,3,2,2026-01-02
558,d,F,E,3,2,2025-12-31
559,z,D,G,1,5,2026-01-01
560,k,G,E,3,1,2025-12-31
561,l,E,G,1,3,2025-12-30
562,y,E,C,1,6,2026-01-02
563,d,G,B,4,10,2026-01-01
564,j,B,G,4,1,2026-01-05
565,k,H,E,3,7,2026-01-06
566,h,D,B,3,10,2026-01-01
567,o,B,A,2,3,2026-01-04
568,d,B,A,3,8,2026-01-04
569,k,E,D,1,6,2026-01-06
570,g,H,A,4,9,2026-01-06
571,r,D,F,3,8,2026-01-05
572,i,G,D,3,10,2025-12-31
573,s,F,C,2,9,2025-12-30
574,t,H,A,4,8,2025-12-31
575,w,C,F,4,3,2026-01-06
576,f,D,G,3,3,2026-01-01
577,w,B,D,3,1,2026-01-05
578,x,F,A,1,7,2026-01-01
579,u,A,H,1,10,2026-01-02
580,u,A,C,1,3,2026-01-01
581,c,A,H,4,9,2026-01-02
582,d,C,F,4,3,2026-01-03
583,l,B,C,3,6,2026-01-04
584,j,G,D,1,7,2026-01-02
585,j,F,C,4,2,2025-12-31
586,h,G,D,1,1,2026-01-03
587,j,A,E,1,6,2026-01-05
588,d,G,C,1,6,2026-01-04
589,t,F,C,4,6,2025-12-30
590,j,G,B,4,9,2026-01-05
591,c,B,H,1,7,2026-01-05
592,j,C,E,1,8,2026-01-05
593,m,D,A,2,8,2026-01-04
594,d,A,H,3,9,2026-01-01
595,b,D,F,3,1,2026-01-02
596,p,E,G,3,3,2026-01-05
597,k,A,H,4,10,2026-01-04
598,y,C,D,2,5,2026-01-05
599,g,C,F,4,2,2026-01-02
600,g,A,H,4,10,2026-01-02
601,t,G,C,2,6,2026-01-06
602,d,A,E,3,8,2026-01-04
603,j,B,D,2,7,2026-01-06
604,m,A,E,2,10,2025-12-31
605,q,A,C,1,3,2026-01-01
606,d,B,G,4,4,2026-01-04
607,n,G,B,4,9,2026-01-05
608,x,C,F,1,7,2025-12-31
609,f,G,B,4,4,2026-01-06
610,h,C,H,1,6,2026-01-01
611,f,C,H,3,10,2026-01-04
612,f,C,F,4,9,2026-01-02
613,z,G,H,2,10,2025-12-30
614,n,E,H,1,1,2025-12-30
615,p,B,A,3,3,2026-01-04
616,y,G,B,4,9,2025-12-30
617,m,A,H,2,7,2025-12-30
618,m,F,C,4,6,2026-01-03
619,p,H,G,1,1,2025-12-30
620,f,B,G,4,3,2026-01-02
621,n,A,G,1,4,2025-12-30
622,g,A,F,1,9,2026-01-02
623,q,G,E,2,8,2026-01-01
624,u,H,F,3,3,2026-01-01
625,x,H,A,4,9,2025-12-31
626,x,G,F,1,10,2026-01-06
627,z,B,C,1,7,2026-01-02
628,b,G,E,3,4,2026-01-06
629,t,G,B,4,9,2026-01-02
630,f,C,B,1,8,2026-01-02
631,t,B,E,1,3,2026-01-05
632,q,A,E,1,2,2026-01-04
633,q,B,A,1,8,2026-01-05
634,m,B,G,4,5,2026-01-02
635,b,F,C,4,7,2026-01-05
636,n,H,A,4,6,2026-01-02
637,q,A,H,4,4,2026-01-01
638,y,H,C,3,3,2026-01-01
639,r,G,F,2,10,2026-01-01
640,v,F,E,1,8,2026-01-04
641,p,A,B,1,5,2026-01-02
642,f,D,C,2,7,2026-01-04
643,g,A,G,2,1,2026-01-01
644,u,D,G,1,3,2026-01-05
645,i,H,B,2,6,2025-12-30
646,g,A,H,4,8,2026-01-02
647,w,F,C,4,2,2026-01-03
648,j,D,E,3,3,2026-01-05
649,s,C,G,3,1,2026-01-01
650,r,A,H,4,4,2026-01-02
651,n,D,G,1,8,2026-01-04
652,i,A,G,1,5,2026-01-03
653,y,E,C,2,2,2025-12-30
654,i,F,C,2,1,2026-01-01
655,n,B,G,3,4,2026-01-03
656,t,G,E,3,10,2026-01-03
657,c,C,F,4,5,2026-01-03
658,e,C,F,4,2,2026-01-01
659,d,D,G,3,9,2025-12-31
660,g,H,B,2,2,2025-12-31
661,w,C,A,2,7,2026-01-05
662,m,G,B,4,10,2026-01-06
663,u,D,C,2,6,2025-12-31
664,l,B,H,2,5,2026-01-05
665,u,B,G,4,10,2026-01-01
666,y,D,C,3,3,2026-01-06
667,y,F,C,4,4,2026-01-01
668,i,D,A,1,1,2026-01-03
669,u,F,D,2,3,2026-01-02
670,c,D,C,2,4,2026-01-05
671,r,C,F,4,2,2026-01-03
672,h,G,B,2,1,2025-12-31
673,j,A,H,4,6,2025-12-30
674,v,G,E,3,9,2025-12-31
675,p,G,B,4,10,2025-12-30
676,e,A,E,2,7,2026-01-05
677,f,C,F,4,6,2026-01-04
678,v,D,E,1,8,2026-01-05
679,w,A,H,4,10,2026-01-05
680,l,C,F,4,7,2026-01-02
681,g,D,E,1,8,2026-01-02
682,f,D,B,1,10,2026-01-02
683,q,H,E,3,8,2025-12-30
684,p,B,G,2,2,2026-01-02
685,s,B,F,1,8,2025-12-31
686,u,F,B,1,8,2026-01-06
687,o,A,C,1,6,2026-01-01
688,o,B,A,1,1,2026-01-06
689,x,G,H,2,10,2025-12-30
690,y,F,G,3,8,2025-12-30
691,k,G,B,1,6,2026-01-06
692,l,H,A,4,2,2026-01-02
693,p,C,F,4,4,2026-01-06
694,h,F,D,3,5,2025-12-31
695,p,A,B,2,8,2026-01-04
696,e,B,E,2,1,2026-01-04
697,h,D,H,3,2,2025-12-31
698,a,G,H,3,8,2026-01-04
699,l,H,E,2,7,2026-01-04
700,u,C,H,2,8,2026-01-05
701,z,B,E,1,2,2026-01-01
702,w,F,C,2,7,2025-12-31
703,g,G,F,3,6,2026-01-05
704,m,G,D,1,7,2025-12-31
705,m,D,C,1,3,2026-01-02
706,e,D,E,1,8,2026-01-01
707,d,A,H,2,4,2026-01-05
708,y,D,G,1,1,2026-01-02
709,y,H,G,3,1,2025-12-31
710,a,G,H,1,8,2026-01-01
711,o,G,B,3,6,2026-01-02
712,e,F,C,4,6,2026-01-04
713,h,H,A,4,5,2025-12-31
714,k,F,A,3,8,2026-01-04
715,t,B,D,2,1,2025-12-31
716,w,H,C,1,1,2026-01-02
717,l,E,G,2,10,2025-12-31
718,b,A,F,3,8,2026-01-02
719,q,F,C,4,4,2026-01-04
720,r,C,F,4,2,2026-01-06
721,t,C,F,4,9,2026-01-01
722,r,A,G,1,2,2026-01-06
723,f,G,B,4,6,2025-12-30
724,j,D,A,2,4,2026-01-01
725,j,G,D,3,10,2026-01-02
726,f,B,D,2,6,2026-01-05
727,n,E,G,3,1,2026-01-06
728,x,G,B,3,2,2025-12-31
729,p,G,B,3,5,2026-01-06
730,l,A,D,3,1,2025-12-30
731,c,C,F,4,6,2026-01-05
732,y,G,B,4,9,2026-01-05
733,o,H,A,4,9,2026-01-06
